Conditions_mapped_concept_id,Conditions_mapped_official_concept,Phecode Category,PhecodeString
C0007222,Cardiovascular Diseases,429,Ill-defined descriptions and complications of heart disease
C0242231,Coronary Stenosis,747,Cardiac and circulatory congenital anomalies
C0242231,Coronary Stenosis,411,Ischemic Heart Disease
C0242231,Coronary Stenosis,854,"Complications of cardiac/vascular device, implant, and graft"
C0007114,Malignant neoplasm of skin,172,Skin cancer
C0242354,Congenital Disorders,759,Other and unspecified congenital anomalies
C0341268,Disorder of small intestine,569,Other disorders of intestine
C0007873,Uterine Cervical Neoplasm,184,Cancer of other female genital organs
C0007873,Uterine Cervical Neoplasm,199,Neoplasm of uncertain behavior
C0007873,Uterine Cervical Neoplasm,619,Noninflammatory female genital disorders
C0024694,Mandibular Neoplasms,199,Neoplasm of uncertain behavior
C3698407,Peri-implant mucositis,851,Complications of transplants and reattached limbs
C3697648,Bimaxillary protrusion,524,"Dentofacial anomalies, including malocclusion"
C1290309,Neoplasm of chest wall,199,Neoplasm of uncertain behavior
C0264716,Chronic heart failure,428,Congestive heart failure; nonhypertensive
C0235974,Pancreatic carcinoma,157,Pancreatic cancer
C0235974,Pancreatic carcinoma,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
C0011389,Dental Plaque,523,Gingival and periodontal diseases
C0341439,Chronic liver disease,573,Other disorders of liver
C0027439,Nasopharyngeal Neoplasms,199,Neoplasm of uncertain behavior
C0027439,Nasopharyngeal Neoplasms,158,Neoplasm of unspecified nature of digestive system
C0015934,Fetal Growth Retardation,637,Short gestation; low birth weight; and fetal growth retardation
C0015934,Fetal Growth Retardation,655,Known or suspected fetal abnormality affecting management of mother
C0151699,Intracranial Hemorrhage,430,Intracranial hemorrhage
C0151699,Intracranial Hemorrhage,665,Obstetrical/birth trauma
C1458155,Mammary Neoplasms,174,Breast cancer
C1867743,Premature coronary artery disease,411,Ischemic Heart Disease
C1303258,Acute ST segment elevation myocardial infarction (disorder),411,Ischemic Heart Disease
C0038941,Surgical Wound Infection,674,Other complications of the puerperium NEC
C0038941,Surgical Wound Infection,041,Bacterial infection NOS
C0038941,Surgical Wound Infection,080,Postoperative infection
C0038941,Surgical Wound Infection,657,Infections specific to the perinatal period
C0038941,Surgical Wound Infection,136,Other infectious and parasitic diseases
C0038941,Surgical Wound Infection,851,Complications of transplants and reattached limbs
C0079377,Frail Elderly,290,Delirium dementia and amnestic and other cognitive disorders
C0080179,Spinal Fractures,665,Obstetrical/birth trauma
C1302401,Adenoma of large intestine,208,Benign neoplasm of colon
C0150055,Chronic pain,338,Pain
C0025202,melanoma,172,Skin cancer
C0040137,Thyroid Nodule,241,Nontoxic nodular goiter
C0038356,Stomach Neoplasms,158,Neoplasm of unspecified nature of digestive system
C0561852,Bone injury,1009,"Injury, NOS"
C0017563,Gingival Diseases,523,Gingival and periodontal diseases
C0006118,Brain Neoplasms,191,Manlignant and unknown neoplasms of brain and nervous system
C0338656,Impaired cognition,292,Neurological disorders
C0242786,High-Risk Pregnancy,634,Miscarriage; stillbirth
C0242786,High-Risk Pregnancy,638,Other high-risk pregnancy
C0007131,Non-Small Cell Lung Carcinoma,165,Cancer within the respiratory system
C0017187,Gastrointestinal problem,561,Symptoms involving digestive system
C0017187,Gastrointestinal problem,569,Other disorders of intestine
C0017187,Gastrointestinal problem,656,Other perinatal conditions of fetus or newborn
C0025061,Mediastinal Diseases,479,Other upper respiratory disease
C0278996,Malignant Head and Neck Neoplasm,195,"Cancer, suspected or other"
C0040332,Tobacco Dependence,318,Tobacco use disorder
C0020443,Hypercholesterolemia,272,Disorders of lipoid metabolism
C0022744,Knee Injuries,1009,"Injury, NOS"
C0021167,Incontinence,599,Other symptoms/disorders or the urinary system
C4076304,Dental plaque induced gingivitis,523,Gingival and periodontal diseases
C1285391,Obesity associated disorder,278,"Overweight, obesity and other hyperalimentation"
C1285391,Obesity associated disorder,450,Noninfectious disorders of lymphatic channels
C1285391,Obesity associated disorder,649,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
C1285391,Obesity associated disorder,415,Pulmonary heart disease
C1285391,Obesity associated disorder,655,Known or suspected fetal abnormality affecting management of mother
C1285391,Obesity associated disorder,1010,Other tests
C0266061,Open Bite,524,"Dentofacial anomalies, including malocclusion"
C0266061,Open Bite,526,Diseases of the jaws
C0266061,Open Bite,378,Strabismus and other disorders of binocular eye movements
C0151786,Muscle Weakness,772,Symptoms of the muscles
C0038354,Stomach Diseases,537,Other disorders of stomach and duodenum
C1561613,Complete edentulism,525,Other diseases of the teeth and supporting structures
C0021296,"Infant, Small for Gestational Age",637,Short gestation; low birth weight; and fetal growth retardation
C1290384,Structural disorder of heart,747,Cardiac and circulatory congenital anomalies
C1290384,Structural disorder of heart,414,Other forms of chronic heart disease
C0521540,Brain stem hemorrhage,665,Obstetrical/birth trauma
C0521540,Brain stem hemorrhage,430,Intracranial hemorrhage
C5546524,Hepatic failure following surgical procedure,569,Other disorders of intestine
C0008679,Chronic disease,1019,Other ill-defined and unknown causes of morbidity and mortality
C0162871,"Aortic Aneurysm, Abdominal",442,Other aneurysm
C0857112,Bilateral glaucoma,365,Glaucoma
C0857112,Bilateral glaucoma,753,Congenital anomalies of the eye
C0032285,Pneumonia,480,Pneumonia
C0002382,Alveolar Bone Loss,524,"Dentofacial anomalies, including malocclusion"
C0002382,Alveolar Bone Loss,523,Gingival and periodontal diseases
C0002382,Alveolar Bone Loss,525,Other diseases of the teeth and supporting structures
C0002382,Alveolar Bone Loss,759,Other and unspecified congenital anomalies
C0002382,Alveolar Bone Loss,691,Congenital anomalies of skin
C0009442,Common Bile Duct Neoplasms,199,Neoplasm of uncertain behavior
C0009442,Common Bile Duct Neoplasms,158,Neoplasm of unspecified nature of digestive system
C0337210,"Gait, Stumbling",350,Abnormal movement
C0152013,Adenocarcinoma of lung (disorder),198,Secondary malignant neoplasm
C0152013,Adenocarcinoma of lung (disorder),165,Cancer within the respiratory system
C0085136,Central Nervous System Neoplasms,199,Neoplasm of uncertain behavior
C0268407,Senile cardiac amyloidosis,270,Disorders of protein plasma/amino-acid transport and metabolism
C0032300,Lobar Pneumonia,480,Pneumonia
C0472377,Basal Ganglia Hemorrhage,430,Intracranial hemorrhage
C0242698,"Ventricular Dysfunction, Left",429,Ill-defined descriptions and complications of heart disease
C0242698,"Ventricular Dysfunction, Left",428,Congestive heart failure; nonhypertensive
C0948008,Ischemic stroke,433,Cerebrovascular disease
C0948008,Ischemic stroke,348,Other conditions of brain
C1335302,Pancreatic Ductal Adenocarcinoma,198,Secondary malignant neoplasm
C1335302,Pancreatic Ductal Adenocarcinoma,195,"Cancer, suspected or other"
C1335302,Pancreatic Ductal Adenocarcinoma,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
C1335302,Pancreatic Ductal Adenocarcinoma,157,Pancreatic cancer
C0021818,Intervertebral Disk Displacement,742,"Derangement of joint, non-traumatic"
C0021818,Intervertebral Disk Displacement,722,Intervertebral disc disorders
C5685962,Perinatal infection of fetus and/or neonate,657,Infections specific to the perinatal period
C5685962,Perinatal infection of fetus and/or neonate,041,Bacterial infection NOS
C5685962,Perinatal infection of fetus and/or neonate,686,Other local infections of skin and subcutaneous tissue
C0033578,Prostatic Neoplasms,199,Neoplasm of uncertain behavior
C0033578,Prostatic Neoplasms,187,Cancer of other male genital organs
C0151449,Primary Sjögren's syndrome,709,Diffuse diseases of connective tissue
C0850666,Infection caused by Helicobacter pylori,531,Peptic ulcer (excl. esophageal)
C0850666,Infection caused by Helicobacter pylori,281,Other deficiency anemia
C0850666,Infection caused by Helicobacter pylori,535,Gastritis and duodenitis
C0850666,Infection caused by Helicobacter pylori,041,Bacterial infection NOS
C0850666,Infection caused by Helicobacter pylori,499,Cystic fibrosis
C0850666,Infection caused by Helicobacter pylori,008,Intestinal infection
C1696708,Prehypertension,402,Elevated blood pressure reading without diagnosis of hypertension
C0267548,Ileocolic intussusception,560,Intestinal obstruction without mention of hernia
C0033975,Psychotic Disorders,295,Schizophrenia and other psychotic disorders
C0746935,Medication Nonadherence,1010,Other tests
C0021390,Inflammatory Bowel Diseases,558,Noninfectious gastroenteritis
C0343641,Human papilloma virus infection,078,Viral warts & HPV
C1336527,Non-Muscle Invasive Bladder Neoplasms,189,Cancer of urinary organs (incl. kidney and bladder)
C1277187,Left ventricular systolic dysfunction,428,Congestive heart failure; nonhypertensive
C1277187,Left ventricular systolic dysfunction,414,Other forms of chronic heart disease
C0687133,Drug Interactions,1011,Complications of surgical and medical procedures
C0009373,Colonic Diseases,569,Other disorders of intestine
C0085380,Dental Anxiety,300,"Anxiety, phobic and dissociative disorders"
C0085380,Dental Anxiety,300,Anxiety disorders
C3251826,Malnutrition (calorie),569,Other disorders of intestine
C3251826,Malnutrition (calorie),649,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
C3251826,Malnutrition (calorie),260,Protein-calorie malnutrition
C1333990,Hereditary Nonpolyposis Colorectal Cancer,153,Colorectal cancer
C1333990,Hereditary Nonpolyposis Colorectal Cancer,191,Manlignant and unknown neoplasms of brain and nervous system
C0948268,Hemodynamic instability,414,Other forms of chronic heart disease
C0206139,"Lichen Planus, Oral",695,Erythematous conditions
C2931822,Nasopharyngeal carcinoma,149,"Cancer of larynx, pharynx, nasal cavities"
C2931822,Nasopharyngeal carcinoma,145,Cancer of mouth
C0410528,Skeletal dysplasia,759,Other and unspecified congenital anomalies
C0410528,Skeletal dysplasia,756,Other congenital musculoskeletal anomalies
C5770073,Primary HER2-positive gastric cancer,151,Cancer of stomach
C0007784,Cerebral hemisphere hemorrhage,665,Obstetrical/birth trauma
C0007784,Cerebral hemisphere hemorrhage,430,Intracranial hemorrhage
C1299451,Patient post angioplasty,429,Ill-defined descriptions and complications of heart disease
C1299451,Patient post angioplasty,411,Ischemic Heart Disease
C0007134,Renal Cell Carcinoma,189,Cancer of urinary organs (incl. kidney and bladder)
C0007134,Renal Cell Carcinoma,198,Secondary malignant neoplasm
C0278701,Gastric Adenocarcinoma,151,Cancer of stomach
C1290859,Disorder of shoulder,741,Symptoms and disorders of the joints
C0877149,Patellofemoral Pain Syndrome,741,Symptoms and disorders of the joints
C0853879,Invasive carcinoma of breast,174,Breast cancer
C0267111,Gastric dysplasia,537,Other disorders of stomach and duodenum
C0267111,Gastric dysplasia,750,Digestive congenital anomalies
C0400967,Liver transplant disorder,573,Other disorders of liver
C0400967,Liver transplant disorder,851,Complications of transplants and reattached limbs
C2585409,Seen in community pediatric clinic,1010,Other tests
C0474416,Disruptive Behavior,312,Conduct disorders
C0474416,Disruptive Behavior,292,Neurological disorders
C0474416,Disruptive Behavior,348,Other conditions of brain
C1997375,Dependence on dialysis due to end stage renal disease,585,Renal failure
C0264235,Disorder of maxillary sinus,479,Other upper respiratory disease
C0553573,Primary infertility,626,Disorders of menstruation and other abnormal bleeding from female genital tract
C0553573,Primary infertility,609,Male infertility and abnormal spermatozoa
C0003507,Aortic Valve Stenosis,395,Heart valve disorders
C0007112,Adenocarcinoma of prostate,185,Cancer of prostate
C0007112,Adenocarcinoma of prostate,195,"Cancer, suspected or other"
C0007112,Adenocarcinoma of prostate,198,Secondary malignant neoplasm
C0521530,Lung consolidation,514,Abnormal findings examination of lungs
C0521530,Lung consolidation,480,Pneumonia
C0009438,Common Bile Duct Calculi,574,Cholelithiasis and cholecystitis
C0026857,Musculoskeletal Diseases,729,Other disorders of soft tissues
C0026857,Musculoskeletal Diseases,738,Other acquired musculoskeletal deformity
C0392008,Complication of anesthesia,646,Other complications of pregnancy NEC
C0392008,Complication of anesthesia,668,Complications of the administration of anesthetic or other sedation in labor and delivery
C0392008,Complication of anesthesia,1011,Complications of surgical and medical procedures
C4517362,Hypotension during surgery,458,Hypotension
C4517362,Hypotension during surgery,429,Ill-defined descriptions and complications of heart disease
C1279386,Postoperative pneumonia,519,"Other diseases of respiratory system, not elsewhere classified"
C1279386,Postoperative pneumonia,501,Pneumonitis due to inhalation of food or vomitus
C1279386,Postoperative pneumonia,480,Pneumonia
C0679086,Intellectualization,292,Neurological disorders
C1510431,Superficial Thrombophlebitis,451,Phlebitis and thrombophlebitis
C0032979,"Pregnancy Trimester, First",1010,Other tests
C0032979,"Pregnancy Trimester, First",656,Other perinatal conditions of fetus or newborn
C0232970,Postmenopausal state,627,Menopausal and postmenopausal disorders
C0232970,Postmenopausal state,1010,Other tests
C0232970,Postmenopausal state,625,Pain and other symptoms associated with female genital organs
C0232970,Postmenopausal state,782,Symptoms involving skin and other integumentary tissue
C2936258,Peri-Implantitis,523,Gingival and periodontal diseases
C2936258,Peri-Implantitis,081,Infection/inflammation of internal prosthetic device; implant; and graft
C4302233,Obscure gastrointestinal hemorrhage,578,Gastrointestinal hemorrhage
C4302233,Obscure gastrointestinal hemorrhage,656,Other perinatal conditions of fetus or newborn
C5244027,Pneumonia caused by SARS-CoV-2,480,Pneumonia
C0001811,Aging,290,Delirium dementia and amnestic and other cognitive disorders
C0001811,Aging,259,Other endocrine disorders
C0730285,Macular edema due to diabetes mellitus,250,Diabetes mellitus
C1719950,Retinopathy due to type 2 diabetes mellitus,250,Diabetes mellitus
C1719950,Retinopathy due to type 2 diabetes mellitus,361,Retinal detachments and defects
C0399383,Submerging tooth,520,Disorders of tooth development
C0748164,Multiple Pulmonary Nodules,502,Postinflammatory pulmonary fibrosis
C0748164,Multiple Pulmonary Nodules,510,Other diseases of lung
C0032787,Postoperative Complications,1011,Complications of surgical and medical procedures
C0679408,Lesion of stomach,537,Other disorders of stomach and duodenum
C0276565,Low vision associated with AIDS,367,Disorders of refraction and accommodation; blindness and low vision
C0276565,Low vision associated with AIDS,071,Human immunodeficiency virus [HIV] disease
C4324721,Radiologically isolated syndrome,341,Other demyelinating diseases of central nervous system
C5200936,Delayed healing of wound,701,Other hypertrophic and atrophic conditions of skin
C5200936,Delayed healing of wound,1011,Complications of surgical and medical procedures
C5200936,Delayed healing of wound,1010,Other tests
C5200936,Delayed healing of wound,687,Symptoms affecting skin
C0598276,Caries of infancy associated with breastfeeding,521,Diseases of hard tissues of teeth
C0036983,Septic Shock,994,Sepsis and SIRS
C0036983,Septic Shock,038,Septicemia
C0086439,Hypokinesia,771,Musculoskeletal symptoms referable to limbs
C0086439,Hypokinesia,1019,Other ill-defined and unknown causes of morbidity and mortality
C0086439,Hypokinesia,292,Neurological disorders
C0086439,Hypokinesia,656,Other perinatal conditions of fetus or newborn
C0086439,Hypokinesia,350,Abnormal movement
C2973725,Pulmonary arterial hypertension,415,Pulmonary heart disease
C2973725,Pulmonary arterial hypertension,747,Cardiac and circulatory congenital anomalies
C0159852,Fracture of tibia and fibula,800,Fracture of lower limb
C0016436,Folliculitis,704,Diseases of hair and hair follicles
C0343363,Viral gastroenteritis due to Rotavirus,008,Intestinal infection
C0240059,Ventricular hemorrhage,430,Intracranial hemorrhage
C0240059,Ventricular hemorrhage,656,Other perinatal conditions of fetus or newborn
C1262477,Weight Loss,1002,"Symptoms concerning nutrition, metabolism, and development"
C1262477,Weight Loss,071,Human immunodeficiency virus [HIV] disease
C1262477,Weight Loss,277,Other disorders of metabolism
C1262477,Weight Loss,260,Protein-calorie malnutrition
C4511579,Peripheral spondyloarthritis,716,Other arthropathies
C4511579,Peripheral spondyloarthritis,713,Arthropathy associated with other disorders classified elsewhere
C4511579,Peripheral spondyloarthritis,715,Other inflammatory spondylopathies
C0010297,Creativity,292,Neurological disorders
C0399524,"Malocclusion, Angle Class II, Division 1",524,"Dentofacial anomalies, including malocclusion"
C0302592,Cervix carcinoma,071,Human immunodeficiency virus [HIV] disease
C0302592,Cervix carcinoma,180,Cervical cancer and dysplasia
C0302592,Cervix carcinoma,195,"Cancer, suspected or other"
C0018989,Hemiparesis,342,Hemiplegia
C0018989,Hemiparesis,344,Other paralytic syndromes
C0018989,Hemiparesis,433,Cerebrovascular disease
C0018989,Hemiparesis,350,Abnormal movement
C0039446,Telangiectasis,217,Vascular hamartomas and non-neoplastic nevi
C0399527,Reverse overjet,524,"Dentofacial anomalies, including malocclusion"
C2363771,Myopic Astigmatism,367,Disorders of refraction and accommodation; blindness and low vision
C0010356,Cross Infection,136,Other infectious and parasitic diseases
C1290325,Disorder of lower respiratory system,519,"Other diseases of respiratory system, not elsewhere classified"
C1290325,Disorder of lower respiratory system,656,Other perinatal conditions of fetus or newborn
C0334287,Fibrolamellar Hepatocellular Carcinoma,155,Cancer of liver and intrahepatic bile duct
C0729353,Subfertility,599,Other symptoms/disorders or the urinary system
C4721806,Skin Basal Cell Carcinoma,172,Skin cancer
C1112209,Abdominal Infection,136,Other infectious and parasitic diseases
C0474396,Sleep behavior finding,327,Sleep disorders
C0474396,Sleep behavior finding,513,Respiratory abnormalities
C0474396,Sleep behavior finding,1010,Other tests
C0235656,Lesion of cervix,619,Noninflammatory female genital disorders
C0235656,Lesion of cervix,180,Cervical cancer and dysplasia
C0524702,Pulmonary Thromboembolisms,415,Pulmonary heart disease
C0524702,Pulmonary Thromboembolisms,1010,Other tests
C0524702,Pulmonary Thromboembolisms,674,Other complications of the puerperium NEC
C1276061,Acute non-ST segment elevation myocardial infarction (disorder),411,Ischemic Heart Disease
C0005395,Bile Duct Diseases,575,Other biliary tract disease
C0520817,Physical disability,1010,Other tests
C1611184,Calcification of coronary artery,411,Ischemic Heart Disease
C1611184,Calcification of coronary artery,747,Cardiac and circulatory congenital anomalies
C0024437,Macular degeneration,362,Other retinal disorders
C0005416,Biliary Dyskinesia,575,Other biliary tract disease
C0238792,Bone lesion,275,Disorders of mineral metabolism
C0238792,Bone lesion,743,"Osteoporosis, osteopenia and pathological fracture"
C0238792,Bone lesion,594,Urinary calculus
C0238792,Bone lesion,270,Disorders of protein plasma/amino-acid transport and metabolism
C4708779,Macular edema due to type 2 diabetes mellitus,250,Diabetes mellitus
C1319315,Adenocarcinoma of large intestine,153,Colorectal cancer
C1302255,Toxicity due to chemotherapy,989,"Toxic effect of other substances, chiefly nonmedicinal as to source"
C3874921,Noncompliance with exercise regimen,1010,Other tests
C0740457,Malignant neoplasm of kidney,189,Cancer of urinary organs (incl. kidney and bladder)
C0151526,Premature Birth,636,Early or threatened labor; hemorrhage in early pregnancy
C0267792,Hepatobiliary Disorder,573,Other disorders of liver
C0267792,Hepatobiliary Disorder,575,Other biliary tract disease
C1304098,Incontinence-associated dermatitis,599,Other symptoms/disorders or the urinary system
C1304098,Incontinence-associated dermatitis,939,Atopic/contact dermatitis due to other or unspecified
C0494165,Metastatic malignant neoplasm to liver,195,"Cancer, suspected or other"
C0494165,Metastatic malignant neoplasm to liver,198,Secondary malignant neoplasm
C0494165,Metastatic malignant neoplasm to liver,172,Skin cancer
C1561619,Partial edentulism,525,Other diseases of the teeth and supporting structures
C0035328,Retinal Vein Occlusion,362,Other retinal disorders
C0574785,Lower Urinary Tract Symptoms,599,Other symptoms/disorders or the urinary system
C0574785,Lower Urinary Tract Symptoms,600,Hyperplasia of prostate
C0233613,Echopraxia,290,Delirium dementia and amnestic and other cognitive disorders
C0233613,Echopraxia,292,Neurological disorders
C0521542,Brain Stem Infarctions,433,Cerebrovascular disease
C0041956,Ureteral obstruction,586,Other disorders of the kidney and ureters
C0041956,Ureteral obstruction,595,Hydronephrosis
C0041956,Ureteral obstruction,751,Genitourinary congenital anomalies
C0041956,Ureteral obstruction,594,Urinary calculus
C0021846,Intestinal Polyps,208,Benign neoplasm of colon
C0021846,Intestinal Polyps,569,Other disorders of intestine
C0024638,Class II division 2 malocclusion,524,"Dentofacial anomalies, including malocclusion"
C1302363,Dysplasia of colon,208,Benign neoplasm of colon
C1302363,Dysplasia of colon,569,Other disorders of intestine
C1302363,Dysplasia of colon,556,Ulceration of the lower GI tract
C1302363,Dysplasia of colon,565,Anal and rectal conditions
C1302363,Dysplasia of colon,153,Colorectal cancer
C0031028,Periapical Diseases,522,Diseases of pulp and periapical tissues
C0031028,Periapical Diseases,701,Other hypertrophic and atrophic conditions of skin
C0031028,Periapical Diseases,523,Gingival and periodontal diseases
C1290889,Inflammatory disorder of the cardiovascular system,656,Other perinatal conditions of fetus or newborn
C1290889,Inflammatory disorder of the cardiovascular system,459,Other disorders of circulatory system
C3662070,Spasticity as sequela of stroke,350,Abnormal movement
C3662070,Spasticity as sequela of stroke,433,Cerebrovascular disease
C0267020,Traumatic ulcer of oral mucosa,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
C0221218,Fordyce's disease,750,Digestive congenital anomalies
C0221218,Fordyce's disease,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
C0221218,Fordyce's disease,705,Disorders of sweat glands
C0339471,Disorder of macula due to diabetes mellitus,250,Diabetes mellitus
C4045991,Perihilar Cholangiocarcinoma,155,Cancer of liver and intrahepatic bile duct
C4045991,Perihilar Cholangiocarcinoma,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
C0086132,Depressive Symptoms,1004,Other signs and symptoms involving emotional state
C0086132,Depressive Symptoms,296,Mood disorders
C0007137,Squamous cell carcinoma,195,"Cancer, suspected or other"
C0553723,Squamous cell carcinoma of skin,172,Skin cancer
C0178573,Criminal behavior,1019,Other ill-defined and unknown causes of morbidity and mortality
C2609129,Autoimmune Pancreatitis,577,Diseases of pancreas
C0085298,Sudden Cardiac Death,427,Cardiac dysrhythmias
C0027809,Neurilemmoma,215,Other benign neoplasm of connective and other soft tissue
C0038536,Subcutaneous Emphysema,958,Certain early complications of trauma or procedure
C0038536,Subcutaneous Emphysema,656,Other perinatal conditions of fetus or newborn
C0038536,Subcutaneous Emphysema,508,Pulmonary collapse; interstitial and compensatory emphysema
C0238246,Hemangioma of liver,228,"Hemangioma and lymphangioma, any site"
C0026846,Muscular Atrophy,772,Symptoms of the muscles
C0149721,Left Ventricular Hypertrophy,401,Hypertension
C0149721,Left Ventricular Hypertrophy,416,Cardiomegaly
C4545430,Spontaneous intracranial hemorrhage,430,Intracranial hemorrhage
C4545430,Spontaneous intracranial hemorrhage,665,Obstetrical/birth trauma
C4545430,Spontaneous intracranial hemorrhage,348,Other conditions of brain
C4545430,Spontaneous intracranial hemorrhage,656,Other perinatal conditions of fetus or newborn
C3714756,Intellectual Disability,315,Develomental delays and disorders
C3714756,Intellectual Disability,1010,Other tests
C0149801,Sepsis due to urinary tract infection,657,Infections specific to the perinatal period
C0149801,Sepsis due to urinary tract infection,994,Sepsis and SIRS
C0149801,Sepsis due to urinary tract infection,038,Septicemia
C0149801,Sepsis due to urinary tract infection,591,Urinary tract infection
C3532942,Mixed Dementias,290,Delirium dementia and amnestic and other cognitive disorders
C0080233,Tooth Loss,525,Other diseases of the teeth and supporting structures
C0080233,Tooth Loss,521,Diseases of hard tissues of teeth
C0080233,Tooth Loss,520,Disorders of tooth development
C0234162,Cerebellar Dysmetria,350,Abnormal movement
C3697585,Erythroleukoplakia of internal part of mouth,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
C0023531,Leukoplakia,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
C0034885,Rectal Neoplasms,158,Neoplasm of unspecified nature of digestive system
C0264722,Chronic congestive heart failure,428,Congestive heart failure; nonhypertensive
C1336029,Solid pseudopapillary carcinoma of pancreas,157,Pancreatic cancer
C0585362,Squamous cell carcinoma of mouth,145,Cancer of mouth
C0038220,Status Epilepticus,345,"Epilepsy, recurrent seizures, convulsions"
C0521839,Influenza-like illness,079,Viral infection
C0038435,Stress,1010,Other tests
C0038435,Stress,304,Adjustment reaction
C0038435,Stress,300,"Anxiety, phobic and dissociative disorders"
C0038435,Stress,300,Anxiety disorders
C0149978,Adenocarcinoma of rectum,153,Colorectal cancer
C5546729,Intraoperative fluid overload,276,"Disorders of fluid, electrolyte, and acid-base balance"
C5546729,Intraoperative fluid overload,851,Complications of transplants and reattached limbs
C1321032,Post-accident distress,1005,Other symptoms
C1321032,Post-accident distress,1004,Other signs and symptoms involving emotional state
C1321032,Post-accident distress,958,Certain early complications of trauma or procedure
C0278056,Abnormal pregnancy,646,Other complications of pregnancy NEC
C0024441,Macular Holes,362,Other retinal disorders
C0004941,Behavioral Symptoms,1019,Other ill-defined and unknown causes of morbidity and mortality
C0004941,Behavioral Symptoms,290,Delirium dementia and amnestic and other cognitive disorders
C0004941,Behavioral Symptoms,335,Multiple sclerosis
C0004941,Behavioral Symptoms,333,Extrapyramidal disease and abnormal movement disorders
C0349530,Early gastric cancer,151,Cancer of stomach
C0155502,Benign Paroxysmal Positional Vertigo,386,Vertiginous syndromes and other disorders of vestibular system
C0023523,Oral leukoedema,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
C0235782,Gallbladder Carcinoma,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
C0235782,Gallbladder Carcinoma,195,"Cancer, suspected or other"
C0014068,Encephalomalacia,348,Other conditions of brain
C0014068,Encephalomalacia,261,Vitamin deficiency
C0014068,Encephalomalacia,349,Other and unspecified disorders of the nervous system
C1290864,Disorder of abdomen,561,Symptoms involving digestive system
